,latitude,longitude,x,y,distance
0,42.239595593729646,-73.95161866953512,586498.4563180541,4676910.816647984,49996.093597399755
1,42.23931465852502,-73.92132322204554,588998.4563180541,4676910.816647984,49493.52861738549
2,42.23902572324277,-73.89102821307199,591498.4563180541,4676910.816647984,49113.230142192406
3,42.238728788212725,-73.86073365491863,593998.4563180541,4676910.816647984,48858.05332798224
4,42.23842385377387,-73.83043955988846,596498.4563180541,4676910.816647984,48729.963831301546
5,42.23811092027424,-73.80014594028327,598998.4563180541,4676910.816647984,48729.963831301546
6,42.237789988071064,-73.76985280840366,601498.4563180541,4676910.816647984,48858.05332798224
7,42.23746105753065,-73.7395601765489,603998.4563180541,4676910.816647984,49113.230142192406
8,42.237124129028444,-73.70926805701711,606498.4563180541,4676910.816647984,49493.52861738549
9,42.236779202948995,-73.678976462105,608998.4563180541,4676910.816647984,49996.093597399755
10,42.25975926822262,-74.02705952880024,580248.4563180541,4679075.880157446,49729.738336330745
11,42.259498157322774,-73.99675371055457,582748.4563180541,4679075.880157446,48906.0003987233
12,42.25922904012656,-73.96644830053093,585248.4563180541,4679075.880157446,48197.9965869944
13,42.25895191694134,-73.9361433110504,587748.4563180541,4679075.880157446,47610.89029833325
14,42.25866678808362,-73.90583875443305,590248.4563180541,4679075.880157446,47149.19803135493
15,42.258373653879055,-73.87553464299779,592748.4563180541,4679075.880157446,46816.63032513045
16,42.2580725146624,-73.8452309890624,595248.4563180541,4679075.880157446,46615.950864483326
17,42.25776337077755,-73.81492780494348,597748.4563180541,4679075.880157446,46548.865453412756
18,42.25744622257758,-73.7846251029564,600248.4563180541,4679075.880157446,46615.950864483326
19,42.25712107042462,-73.75432289541536,602748.4563180541,4679075.880157446,46816.63032513045
20,42.25678791468998,-73.72402119463322,605248.4563180541,4679075.880157446,47149.19803135493
21,42.25644675575408,-73.69372001292157,607748.4563180541,4679075.880157446,47610.89029833325
22,42.25609759400648,-73.66341936259067,610248.4563180541,4679075.880157446,48197.9965869944
23,42.25574042984584,-73.63311925594941,612748.4563180541,4679075.880157446,48906.0003987233
24,42.25537526367998,-73.60281970530525,615248.4563180541,4679075.880157446,49729.738336330745
25,42.27963244865266,-74.07223310766668,576498.4563180541,4681240.943666906,49208.580298561516
26,42.27938317852992,-74.04191736196552,578998.4563180541,4681240.943666906,48181.78468051984
27,42.27912589622901,-74.01160200645337,581498.4563180541,4681240.943666906,47265.04390138632
28,42.27886060204389,-73.98128705346717,583998.4563180541,4681240.943666906,46464.872484490654
29,42.27858729627775,-73.95097251534277,586498.4563180541,4681240.943666906,45787.38226848065
30,42.27830597924282,-73.92065840441502,588998.4563180541,4681240.943666906,45238.08544799367
31,42.278016651260586,-73.89034473301759,591498.4563180541,4681240.943666906,44821.69536061724
32,42.277719312661596,-73.8600315134831,593998.4563180541,4681240.943666906,44541.93950649182
33,42.277413963785584,-73.82971875814293,596498.4563180541,4681240.943666906,44401.400597278196
34,42.27710060498141,-73.79940647932733,598998.4563180541,4681240.943666906,44401.400597278196
35,42.276779236607084,-73.76909468936533,601498.4563180541,4681240.943666906,44541.93950649182
36,42.27644985902975,-73.73878340058464,603998.4563180541,4681240.943666906,44821.69536061724
37,42.27611247262569,-73.70847262531171,606498.4563180541,4681240.943666906,45238.08544799367
38,42.27576707778034,-73.67816237587171,608998.4563180541,4681240.943666906,45787.38226848065
39,42.27541367488821,-73.6478526645884,611498.4563180541,4681240.943666906,46464.872484490654
40,42.27505226435305,-73.6175435037842,613998.4563180541,4681240.943666906,47265.04390138632
41,42.27468284658766,-73.58723490578011,616498.4563180541,4681240.943666906,48181.78468051984
42,42.27430542201401,-73.55692688289564,618998.4563180541,4681240.943666906,49208.580298561516
43,42.299488032613034,-74.11743528251715,572748.4563180541,4683406.007176368,49065.48557794926
44,42.29925062012421,-74.08710962653575,575248.4563180541,4683406.007176368,47840.06558314847
45,42.29900518959167,-74.05678434266612,577748.4563180541,4683406.007176368,46716.39835218407
46,42.298751741296016,-74.02645944326092,580248.4563180541,4683406.007176368,45701.989836329296
47,42.29849027552698,-73.99613494067184,582748.4563180541,4683406.007176368,44804.26179505635
48,42.298220792583486,-73.96581084724954,585248.4563180541,4683406.007176368,44030.351747402
49,42.297943292773574,-73.93548717534364,587748.4563180541,4683406.007176368,43386.88597952089
50,42.297657776414475,-73.90516393730263,590248.4563180541,4683406.007176368,42879.737347609145
51,42.29736424383257,-73.87484114547395,592748.4563180541,4683406.007176368,42513.78452925529
52,42.29706269536339,-73.84451881220386,595248.4563180541,4683406.007176368,42292.69292679229
53,42.296753131351586,-73.81419694983742,597748.4563180541,4683406.007176368,42218.73843449075
54,42.29643555215103,-73.7838755707185,600248.4563180541,4683406.007176368,42292.69292679229
55,42.296109958124696,-73.75355468718973,602748.4563180541,4683406.007176368,42513.78452925529
56,42.29577634964472,-73.72323431159244,605248.4563180541,4683406.007176368,42879.737347609145
57,42.29543472709236,-73.69291445626669,607748.4563180541,4683406.007176368,43386.88597952089
58,42.29508509085808,-73.66259513355119,610248.4563180541,4683406.007176368,44030.351747402
59,42.294727441341436,-73.63227635578326,612748.4563180541,4683406.007176368,44804.26179505635
60,42.29436177895116,-73.60195813529883,615248.4563180541,4683406.007176368,45701.989836329296
61,42.293988104105104,-73.5716404844324,617748.4563180541,4683406.007176368,46716.39835218407
62,42.293606417230286,-73.541323415517,620248.4563180541,4683406.007176368,47840.06558314847
63,42.29321671876282,-73.51100694088417,622748.4563180541,4683406.007176368,49065.48557794926
